WKT,id,left,top,right,bottom,MS頻度データ,AD頻度データ,大元1,大元2,大元3,大元4,大元5,MS_年頻度(31年分) N=389,MS重みづけ,AD_年頻度(4年分) N=23049,AD重みづけ,大元の頻度(1957-1967),平均頻度
"MULTIPOLYGON (((140.449754408331 36.4280317292609,140.539585936743 36.4280317292609,140.539585936743 36.3557193410116,140.449754408331 36.3557193410116,140.449754408331 36.4280317292609)))",66241,15634795.14,4359678.846,15644795.14,4349678.846,0,7,1,2,5,0,0,0,0,1.75,1.720955286,0.5,0.740318429
"MULTIPOLYGON (((139.641270652623 35.9204348511155,139.731102181035 35.9204348511155,139.731102181035 35.8476529161008,139.641270652623 35.8476529161008,139.641270652623 35.9204348511155)))",63197,15544795.14,4289678.846,15554795.14,4279678.846,5,8,1,2,0,0,0,0.161290323,0.002676932,2,1.966806041,0.2,0.723160991
"MULTIPOLYGON (((139.731102181035 35.7018885283356,139.820933709447 35.7018885283356,139.820933709447 35.628906188986,139.731102181035 35.628906188986,139.731102181035 35.7018885283356)))",63539,15554795.14,4259678.846,15564795.14,4249678.846,1,8,1,2,0,0,0,0.032258065,0.000535386,2,1.966806041,0.2,0.722447143
"MULTIPOLYGON (((139.641270652623 35.7018885283356,139.731102181035 35.7018885283356,139.731102181035 35.628906188986,139.641270652623 35.628906188986,139.641270652623 35.7018885283356)))",63200,15544795.14,4259678.846,15554795.14,4249678.846,0,8,1,2,0,0,0,0,0,2,1.966806041,0.2,0.72226868
"MULTIPOLYGON (((139.731102181035 35.8476529161008,139.820933709447 35.8476529161008,139.820933709447 35.7748041230214,139.731102181035 35.7748041230214,139.731102181035 35.8476529161008)))",63537,15554795.14,4279678.846,15564795.14,4269678.846,0,8,1,2,0,0,0,0,0,2,1.966806041,0.2,0.72226868
"MULTIPOLYGON (((139.820933709447 35.9204348511155,139.910765237859 35.9204348511155,139.910765237859 35.8476529161008,139.820933709447 35.8476529161008,139.820933709447 35.9204348511155)))",63875,15564795.14,4289678.846,15574795.14,4279678.846,1,8,1,0,0,0,0,0.032258065,0.000535386,2,1.966806041,0.1,0.689113809
"MULTIPOLYGON (((139.102281482151 36.4280317292609,139.192113010563 36.4280317292609,139.192113010563 36.3557193410116,139.102281482151 36.3557193410116,139.102281482151 36.4280317292609)))",61156,15484795.14,4359678.846,15494795.14,4349678.846,1,4,1,2,5,10,0,0.032258065,0.000535386,1,0.983403021,1,0.661312802
"MULTIPOLYGON (((139.641270652623 36.7885832491001,139.731102181035 36.7885832491001,139.731102181035 36.7166078393912,139.641270652623 36.7166078393912,139.641270652623 36.7885832491001)))",63185,15544795.14,4409678.846,15554795.14,4399678.846,0,4,1,2,5,10,0,0,0,1,0.983403021,1,0.66113434
"MULTIPOLYGON (((139.551439124211 36.2108928982705,139.641270652623 36.2108928982705,139.641270652623 36.1383789504378,139.551439124211 36.1383789504378,139.551439124211 36.2108928982705)))",62854,15534795.14,4329678.846,15544795.14,4319678.846,2,6,1,2,5,0,0,0.064516129,0.001070773,1.5,1.475104531,0.5,0.658725101
"MULTIPOLYGON (((139.731102181035 36.2108928982705,139.820933709447 36.2108928982705,139.820933709447 36.1383789504378,139.731102181035 36.1383789504378,139.731102181035 36.2108928982705)))",63532,15554795.14,4329678.846,15564795.14,4319678.846,1,6,1,2,5,0,0,0.032258065,0.000535386,1.5,1.475104531,0.5,0.658546639
"MULTIPOLYGON (((139.281944538975 36.2833397129848,139.371776067387 36.2833397129848,139.371776067387 36.2108928982705,139.281944538975 36.2108928982705,139.281944538975 36.2833397129848)))",61836,15504795.14,4339678.846,15514795.14,4329678.846,0,6,1,2,5,0,0,0,0,1.5,1.475104531,0.5,0.658368177
"MULTIPOLYGON (((139.461607595799 35.7748041230214,139.551439124211 35.7748041230214,139.551439124211 35.7018885283356,139.461607595799 35.7018885283356,139.461607595799 35.7748041230214)))",62521,15524795.14,4269678.846,15534795.14,4259678.846,0,6,1,2,5,0,0,0,0,1.5,1.475104531,0.5,0.658368177
"MULTIPOLYGON (((139.731102181035 36.065797923535,139.820933709447 36.065797923535,139.820933709447 35.9931498720909,139.731102181035 35.9931498720909,139.731102181035 36.065797923535)))",63534,15554795.14,4309678.846,15564795.14,4299678.846,0,7,1,2,0,0,0,0,0,1.75,1.720955286,0.2,0.640318429
"MULTIPOLYGON (((139.820933709447 35.9931498720909,139.910765237859 35.9931498720909,139.910765237859 35.9204348511155,139.820933709447 35.9204348511155,139.820933709447 35.9931498720909)))",63874,15564795.14,4299678.846,15574795.14,4289678.846,0,7,1,2,0,0,0,0,0,1.75,1.720955286,0.2,0.640318429
"MULTIPOLYGON (((139.192113010563 36.5002768251205,139.281944538975 36.5002768251205,139.281944538975 36.4280317292609,139.192113010563 36.4280317292609,139.192113010563 36.5002768251205)))",61494,15494795.14,4369678.846,15504795.14,4359678.846,0,1,1,2,5,10,15,0,0,0.25,0.245850755,1.5,0.581950252
